source_id,bib_key,title,authors,year,family_or_topic,artifact_type,version_or_release_date,url,accessed_date,primary_source,claims_supported,evidence_location,disclosure_status,notes
TCR,TCR,TCR signaling,Not normalized; use linked source attribution,not-disclosed,TCR/CD3 engagement couples to tyrosine kinases and adaptor phosphorylation.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-202403,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P008;P012;C001,Summary and Events: Phosphorylation of CD3; Translocation of ZAP-70,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
BCR,BCR,Signaling by the B Cell Receptor (BCR),Not normalized; use linked source attribution,not-disclosed,"Antigen recognition by membrane immunoglobulin activates CD79 ITAMs, SYK and downstream second messengers.",official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-983705,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P008;P012;C002,Summary paragraphs 1-7,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
C3,C3,Complement cascade,Not normalized; use linked source attribution,not-disclosed,"Three initiation routes converge on C3 cleavage; opsonization, inflammation and terminal pore formation are distinct outputs.",official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-166658,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P015;C003,"Summary: convergence, outcomes and nomenclature note",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
PLT,PLT,"Platelet activation, signaling and aggregation",Not normalized; use linked source attribution,not-disclosed,Adhesion and agonists trigger platelet activation; released agonists amplify recruitment and aggregation.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-76002,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C018,Summary and Events: Platelet Aggregation,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
AUTO,AUTO,Macroautophagy,Not normalized; use linked source attribution,not-disclosed,"A phagophore encloses cargo, seals as an autophagosome and delivers cargo to lysosomes.",official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-1632852,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C014,"Summary: isolation membrane, autophagosome and autolysosome",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
WNT,WNT,Signaling by WNT,Not normalized; use linked source attribution,not-disclosed,Canonical WNT stabilizes beta-catenin for nuclear transcriptional coactivation; noncanonical responses depend on context.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-195721,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C010,Summary: canonical pathway and context dependence,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
MHCI,MHCI,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Not normalized; use linked source attribution,not-disclosed,Peptides load onto class I MHC in the ER; stable complexes travel through Golgi to the surface.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-983170,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C004,"Summary and Events: transport into ER, loading and surface transport",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
MHCII,MHCII,MHC class II antigen presentation,Not normalized; use linked source attribution,not-disclosed,Endocytic antigen processing and class II loading precede surface presentation to CD4 T cells.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-2132295,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C005,"Summary and Events: invariant chain, antigen processing and loading",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
IGE,IGE,Fc epsilon receptor (FCERI) signaling,Not normalized; use linked source attribution,not-disclosed,Allergen-dependent aggregation of IgE-bound Fc receptors drives mast-cell signaling and mediator release.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-2454202,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C007,"Summary and Events: IgE binding, aggregation and degranulation",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
PD1,PD1,Co-inhibition by PD-1,Not normalized; use linked source attribution,not-disclosed,Ligated PD-1 recruits phosphatases and attenuates T-cell signaling.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-389948,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P006;P007;P009;C008,Summary and Events: ligation and phosphatase recruitment,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
IFN,IFN,Interferon alpha/beta signaling,Not normalized; use linked source attribution,not-disclosed,"Type I interferons signal through IFNAR1/2; STAT1, STAT2 and IRF9 form ISGF3.",official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-909733,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P005;P010;C009,"Summary and Events: receptor assembly, JAKs, STATs and ISGF3",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
NOTCH,NOTCH,Signaling by NOTCH1,Not normalized; use linked source attribution,not-disclosed,A neighboring membrane ligand triggers NOTCH1 cleavage and nuclear NICD-dependent transcription.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-1980143,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C011,Summary paragraphs 1-3,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
APOP,APOP,Intrinsic Pathway for Apoptosis,Not normalized; use linked source attribution,not-disclosed,BCL-2-family regulation links intracellular stress to mitochondrial disruption and downstream apoptosis.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-109606,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C013,Summary and Events: BAX/BAK and apoptotic factor response,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
FERR,FERR,Ferritin and Transferrin,Not normalized; use linked source attribution,not-disclosed,Ferritin encloses stored iron; transferrin carries iron and cycles through acidified endosomes with its receptor.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/motm/35,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A001;P011;C016,Storing Iron; Transferrin and transferrin receptor,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
FIB,FIB,Fibrin,Not normalized; use linked source attribution,not-disclosed,Thrombin cleavage converts soluble fibrinogen into fibrin that assembles into fibers.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/motm/83,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A002;C017,Building a Scab; Flexible Fibrin; assembly discussion,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
NANO,NANO,Nanodiscs and HDL,Not normalized; use linked source attribution,not-disclosed,A stabilizing protein belt surrounds a small lipid bilayer disc; nanodiscs support membrane-protein studies.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/motm/237,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A007;C019,Introductory description; Good Cholesterol; Exploring the Structure,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
RIBO,RIBO,Riboswitches,Not normalized; use linked source attribution,not-disclosed,Ligand binding stabilizes an RNA conformation that changes transcription or translation; response direction varies.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/motm/130,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P014;C020,Self Control; Flipping the Switch,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
TELO,TELO,Telomerase,Not normalized; use linked source attribution,not-disclosed,Telomerase uses an RNA template to extend telomeric DNA; guanine-rich DNA can form quadruplexes.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/motm/227,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A008;C021;C022,"Protecting the Ends; Add Six Bases, Repeat; Quadruplexes",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
LPS,LPS,Making Lipopolysaccharide,Not normalized; use linked source attribution,not-disclosed,LPS combines lipid anchors with carbohydrate regions; carbohydrate composition varies among bacteria.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/learn/structural-biology-highlights/making-lipopolysaccharide,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A003;C040,Introduction; Lipid Carrier,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
GUT,GUT,Small Intestine,Not normalized; use linked source attribution,not-disclosed,"Villi, microvilli and crypts organize absorptive and secretory epithelial functions; Paneth cells occupy crypt bases.",institutional teaching reference,Live page accessed 2026-09-05,https://histology.leeds.ac.uk/home/digestive/small_intestine/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A011;P002;P003;C033;C034,Structure; Epithelium and Villi; Crypts,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
CAP,CAP,Capillaries,Not normalized; use linked source attribution,not-disclosed,Capillary endothelial architectures differ; pericytes are associated with continuous capillaries.,institutional teaching reference,Live page accessed 2026-09-05,https://histology.leeds.ac.uk/home/circulatory/capillaries/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A010;P004;C037;C038,Continuous; Fenestrated capillaries; Sinusoids,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
LUNG,LUNG,Respiratory portion,Not normalized; use linked source attribution,not-disclosed,Flattened type I and secretory type II pneumocytes have different roles at the alveolar gas-exchange surface.,institutional teaching reference,Live page accessed 2026-09-05,https://histology.leeds.ac.uk/home/respiratory/respiratory/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A012;P001;C035;C036,Alveoli; Main constituents of alveolus and interalveolar wall,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
PORIN,PORIN,Porins,Not normalized; use linked source attribution,not-disclosed,Bacterial porins provide outer-membrane diffusion channels; reduced permeability can contribute to antibiotic resistance.,official curated scientific resource,Live page accessed 2026-09-05,https://pdb101.rcsb.org/global-health/antimicrobial-resistance/drugs/antibiotic-resistance-mechanisms/porins,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A005;C039,Normal Function; Types; Structure; Resistance Due to Decreased Permeability,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
HJ,HJ,Effect of Sequence on the Conformational Geometry of DNA Holliday Junctions,Not normalized; use linked source attribution,not-disclosed,This deposited DNA forms four-way stacked-X junctions; junction geometry is sequence dependent.,primary structural deposition,Live page accessed 2026-09-05,https://www.rcsb.org/structure/1P4Y,2026-09-05,yes,A009,Primary Citation abstract; structure metadata,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
IGEF,IGEF,The crystal structure of IgE Fc reveals an asymmetrically bent conformation,Not normalized; use linked source attribution,not-disclosed,IgE Fc has an extra C-epsilon-2 domain pair relative to the IgG hinge and a bent structure in this entry.,primary structural deposition,Live page accessed 2026-09-05,https://www.rcsb.org/structure/1O0V,2026-09-05,yes,A004;C006,Primary Citation abstract,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
AGG,AGG,"Nanomechanics of Aggrecan: A New Perspective on Cartilage Biomechanics, Disease and Regeneration",Not normalized; use linked source attribution,not-disclosed,Aggrecan is a core protein carrying glycosaminoglycan chains; its organization contributes to cartilage mechanics.,scholarly book chapter hosted by NCBI,Live page accessed 2026-09-05,https://www.ncbi.nlm.nih.gov/books/NBK604357/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,A006;C041,Abstract; Structure of Aggrecan; Nanomechanics sections,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
SPLICE,SPLICE,mRNA Splicing - Major Pathway,Not normalized; use linked source attribution,not-disclosed,Spliceosomal reactions generate an intron lariat and join the flanking exons.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-72163,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P013;C023,Summary paragraphs 1-6,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
INS,INS,Insulin receptor signalling cascade,Not normalized; use linked source attribution,not-disclosed,Insulin-receptor autophosphorylation recruits signaling pathways and receptor internalization attenuates signaling.,official curated scientific resource,Live page accessed 2026-09-05,https://reactome.org/content/detail/R-HSA-74751,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P012;C012,"Summary and Events: SHC, IRS and attenuation",reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
CLONE,CLONE,Plasmid Cloning by Restriction Enzyme Digest,Not normalized; use linked source attribution,not-disclosed,Compatible ends and orientation matter in restriction cloning; colony recovery alone does not verify the construct.,official method documentation,Live page accessed 2026-09-05,https://www.addgene.org/protocols/subcloning/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,P017;C025,Design; Digest; Ligate; Transform; Isolate the Finished Plasmid,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
GIBSON,GIBSON,Gibson Assembly Protocol,Not normalized; use linked source attribution,not-disclosed,"Overlapping fragments are joined using exonuclease, polymerase and ligase activities.",official method documentation,Live page accessed 2026-09-05,https://www.addgene.org/protocols/gibson-assembly/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C026,Procedure: design and enzyme functions,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
GOLD,GOLD,Golden Gate Assembly,Not normalized; use linked source attribution,not-disclosed,Type IIS cleavage outside recognition sites produces designed overhangs for ordered ligation.,official method documentation,Live page accessed 2026-09-05,https://www.neb-online.de/en/cloning-synthetic-biology/dna-assembly/golden-gate-assembly/,2026-09-05,curated reference or official documentation; not necessarily original experimental evidence,C027,Overview and Golden Gate Assembly workflow,reported,Opened source text using web tool; no source artwork downloaded. Scientific scope only; layouts and priorities are independently proposed. Publication year was not normalized.
