claim_id,section,claim,source_ids,evidence_location,status,notes
A001-science,new_primitive,Ferritin provides a hollow protein shell for iron storage.,FERR,FERR: Storing Iron; Transferrin and transferrin receptor,reported,Verified at schematic scope. Limit: A schematic shell does not establish a species-specific subunit composition. Resolve an exact structure before showing numbered subunits.
A001-design,new_primitive,"Plan an intact sphere and a cutaway of the same shell. Keep the cavity, shell and optional iron-core overlay separately addressable. Use a cage silhouette rather than the open tunnel of a chaperonin; do not prescribe atomic surface detail.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A002-science,new_primitive,"Soluble fibrinogen is cleaved to produce fibrin, which can assemble into fibers.",FIB,FIB: Building a Scab; Flexible Fibrin; assembly discussion,reported,Verified at schematic scope. Limit: Flexible regions are not completely resolved in many structures. Avoid treating the drawing as exact molecular geometry.
A002-design,new_primitive,Use an elongated molecule with a central region and two distal lobes connected by slender arms. Provide removable cleavage-site annotations and end attachment points so copies can later form a fiber. Keep the soluble precursor separate from the assembled network.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A003-science,new_primitive,LPS connects a lipid anchor to carbohydrate regions on Gram-negative bacterial surfaces.,LPS,LPS: Introduction; Lipid Carrier,reported,"Verified at schematic scope. Limit: Do not infer a fixed sugar sequence, tail count or universal O-antigen length from a generic LPS symbol."
A003-design,new_primitive,Provide a lipid-anchor module beneath an editable sugar-chain region. Mark membrane insertion and extracellular chain endpoints. Offer schematic short-chain and extended-chain states with strain identity left unset.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A004-science,new_primitive,IgE Fc contains a C-epsilon-2 domain pair and can adopt a bent configuration distinct from IgG Fc.,IGEF,IGEF: Primary Citation abstract,reported,"Verified at schematic scope. Limit: The cited structure contains Fc, not complete IgE; it does not establish the bound whole-antibody geometry."
A004-design,new_primitive,Design an Fc-only module with paired domain regions and two Fab attachment anchors. Preserve a bent silhouette and expose the receptor-binding side. Full IgE must later reuse two library Fab fragments with this module.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A005-science,new_primitive,Classical porins provide water-filled diffusion paths through the bacterial outer membrane.,PORIN,PORIN: Normal Function; Types; Structure; Resistance Due to Decreased Permeability,reported,Verified at schematic scope. Limit: Porins vary in selectivity and oligomeric organization. Do not turn the archetype into a universal ATP-driven transporter.
A005-design,new_primitive,Plan a short membrane-spanning barrel with a visible lumen and rim loops. Supply side and axial views with separate lumen and membrane anchors. Assemble oligomers from instances; label the selected porin before giving an oligomer count.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A006-science,new_primitive,Aggrecan has glycosaminoglycan side chains attached to a protein core.,AGG,AGG: Abstract; Structure of Aggrecan; Nanomechanics sections,reported,"Verified at schematic scope. Limit: This is an aggrecan archetype, not the architecture of every proteoglycan; no quantitative stiffness follows from chain density in the icon."
A006-design,new_primitive,Plan a flexible core with detachable brush-like side chains and a designated attachment region. Preserve chain/core separation for intact and fragmented states. A cartilage panel must assemble these with existing collagen and cell assets.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A007-science,new_primitive,Engineered scaffold proteins stabilize the edge of a nanodisc lipid bilayer.,NANO,NANO: Introductory description; Good Cholesterol; Exploring the Structure,reported,Verified at schematic scope. Limit: Disc dimensions and belt stoichiometry depend on the scaffold construct. No single size is implied.
